design_id,sensor,level,direction,repeat,x_nominal,x_applied,T_C,y,y_ideal,p_radius_um,p_lam_nm,p_n_res,p_eta_mode,p_eta,p_q_factor,p_snr,p_n_pts,p_dndT,p_alpha
toroid_1,wgm_microtoroid,0,up,1,0.0,-2.2066768981310646e-06,25.02375918209743,0.12174106339812707,0.0,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,0,up,2,0.0,-1.4500492804888798e-06,24.97746157009588,-0.27764325775497434,0.0,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,0,up,3,0.0,-1.5636105146361137e-06,24.962253385908813,-0.4183751543695699,0.0,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,0,up,4,0.0,5.339517127887851e-07,24.959259294633046,-0.35089414206827163,0.0,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,0,up,5,0.0,-4.971614588777818e-07,24.982807257110288,-0.18348400594000255,0.0,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,0,up,6,0.0,2.529661030236997e-07,24.997430995310655,-0.015509921585031724,0.0,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,0,up,7,0.0,1.686085141608676e-06,24.95138631613128,-0.37548608139017126,0.0,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,0,up,8,0.0,1.7158730989515373e-06,24.94327562335215,-0.44508954704306797,0.0,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,1,up,1,0.001,0.000999740337287177,25.00847888645439,44.60988240070993,44.54506365478037,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,1,up,2,0.001,0.0009962608055343167,24.99120111178754,44.295287027765504,44.54506365478037,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,1,up,3,0.001,0.0009991533017803767,25.003839993224403,44.54489455604605,44.54506365478037,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,1,up,4,0.001,0.001002027793599596,25.07711520554978,45.34821962171549,44.54506365478037,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,1,up,5,0.001,0.0010019674306889893,25.009184176932465,44.716078549543056,44.54506365478037,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,1,up,6,0.001,0.0010012600839014597,25.01381669056058,44.73184880914193,44.54506365478037,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,1,up,7,0.001,0.0009995238823897641,25.03025487435706,44.803483473370626,44.54506365478037,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,1,up,8,0.001,0.0009963101202480945,24.98717155465632,44.25864164988205,44.54506365478037,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,2,up,1,0.002,0.002001211757930898,24.936134988835903,88.55090355936511,89.09012730956074,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,2,up,2,0.002,0.0019997210286431966,24.97877399134335,88.87612521087775,89.09012730956074,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,2,up,3,0.002,0.00199734239635079,25.012458178771425,89.08585574695778,89.09012730956074,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,2,up,4,0.002,0.002001030969691665,24.966744635819936,88.82819547267366,89.09012730956074,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,2,up,5,0.002,0.001999310366964611,24.950164138003824,88.59712915065849,89.09012730956074,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,2,up,6,0.002,0.0019992153147945246,24.947378845673633,88.5714045053314,89.09012730956074,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,2,up,7,0.002,0.0020011797918331278,24.994135342306205,89.09080146612882,89.09012730956074,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,2,up,8,0.002,0.001995615006549882,25.033750996522752,89.20460986565344,89.09012730956074,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,3,up,1,0.003,0.002999311097184445,24.990542388134287,133.5143413942677,133.63519096434112,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,3,up,2,0.003,0.0030011400583999453,25.025970666726497,133.9271844202096,133.63519096434112,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,3,up,3,0.003,0.0029991415747589218,24.99375904516854,133.53774887058208,133.63519096434112,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,3,up,4,0.003,0.0029971937112342013,24.968299189089123,133.21776822332458,133.63519096434112,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,3,up,5,0.003,0.002999864863510378,24.94967715505355,133.16716493835867,133.63519096434112,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,3,up,6,0.003,0.0029981915349875893,25.086053499246297,134.3488823555769,133.63519096434112,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,3,up,7,0.003,0.0030006505601023656,25.055330430324748,134.17426817414884,133.63519096434112,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,3,up,8,0.003,0.0029989896521870835,24.924817361779244,132.89527183748555,133.63519096434112,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,4,up,1,0.004,0.003999827154789606,24.994667424685847,178.12461305071747,178.18025461912148,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
toroid_1,wgm_microtoroid,4,up,2,0.004,0.004000773368517522,25.04973435758512,178.6763213598144,178.18025461912148,20.0,1550.0,1.45,auto (scaling law),0.05,1000000.0,100.0,20.0,1.2,0.55
