sample,pressure_kPa,output_mV,healthy_model_mV,label
0,72.44438068238917,104.12465097098588,104.33988308527681,normal
1,73.58191352057493,105.81293154646492,105.93860608790648,normal
2,74.64917753666232,107.21612019546028,107.43855492167401,normal
3,75.64299252285299,109.07555641643397,108.8352630439035,normal
4,76.5603971330118,110.10092525275583,110.12457154006245,normal
5,77.39865770681526,111.61765526606379,111.30264146822994,normal
6,78.15527641544715,111.5868194371893,112.36596525027134,normal
7,78.8279987045692,113.9721000418677,113.31137707670545,normal
8,79.41482001238809,114.0953901221675,114.13606229517868,normal
9,79.91399174280089,115.12452884039214,114.83756575546296,normal
10,80.32402647581978,115.35619953142643,115.4137990869486,normal
11,80.64370239975068,115.70315456047653,115.86304688771959,normal
12,80.87206695191844,116.3792976869443,116.18397180745227,normal
13,81.0084396570904,116.72337341610773,116.37561850957405,normal
14,81.05241415514016,116.35199551805712,116.43741650134197,normal
15,81.0038594119098,116.30474122759726,116.36918182374791,normal
16,80.86292010966234,116.46032456313522,116.17111759642049,normal
17,80.63001621596092,115.47673001649953,115.84381341596716,normal
18,80.30584173225964,114.74952238027545,115.3882436094757,normal
19,79.89136262593442,114.97235576986616,114.80576434816514,normal
20,79.38781395191671,113.81528521534366,114.0981096294437,normal
21,78.79669617250622,112.45744447007804,113.26738613887007,normal
22,78.11977068632923,111.97272375479471,112.31606700674443,normal
23,77.35905457976511,111.04976594781951,111.24698447724163,normal
24,76.51681461648059,109.56006473954598,110.06332151115797,normal
25,75.59556048298145,108.1391261508776,108.76860234644951,normal
26,74.59803731030883,107.38213477278252,107.36668204379825,normal
27,73.52721749416328,106.24016768800901,105.86173504743674,normal
28,72.38629183783117,104.15991472422974,104.25824279438767,normal
29,71.17866004430532,102.24735405863933,102.5609804081248,normal
30,69.9079205859313,100.93738127756941,100.77500251541832,normal
31,68.57785998176557,99.20813663155822,98.905628227796,normal
32,67.1924415145966,96.83188992114647,96.95842533160723,normal
33,65.7557934212494,95.16891816614846,94.93919373312086,normal
34,64.27219659136435,93.29380158976642,92.8539482074068,normal
35,62.746071811304425,90.62161252699336,90.70890050193509,normal
36,61.18196659120173,88.16732455950961,88.51044084786568,normal
37,59.584541614395604,86.41174745769071,86.26511893389281,normal
38,57.95855684963977,84.08403171716816,83.9796243992322,normal
39,56.308857367461236,82.12421294670884,81.66076690389784,normal
40,54.640358902935,78.77365845618655,79.31545583579607,normal
41,52.95803320789423,76.67163136130006,76.9506797153598,normal
42,51.26689323622297,74.21997184711962,74.57348535945269,normal
43,49.57197820637605,71.45960177023424,72.19095686708279,normal
44,47.87833858563637,69.86352076727748,69.81019449007634,normal
45,46.19102104085328,67.66090533000724,67.43829345226851,normal
46,44.51505340050535,64.77072345631771,65.08232278096858,normal
